日付,ライブタイトル,会場名
2025-01-29,chemical reaction Vol.40,心斎橋VARON
2025-02-01,Aile Matsuri,心斎橋CLAPPER
2025-02-01,マネキン春のパン祭り,SOUNDNOTE OSAKA
2025-02-02,アイドル好きで何がわるい,CDC BOX
2025-02-02,SPRISE Pre. Thirty's,FANJ twice
2025-02-04,Synchro Sensation Vol.3,心斎橋VARON
2025-02-08,PIEN presents,CLAPPER
2025-02-08,GEM JAM FES！,FANJ twice
2025-02-09,MAD CIRCUS,CLUB CIRCUS
2025-02-09,アイドル好きで何がわるい,CDC BOX
2025-02-13,風神雷神 バレンタイン編,心斎橋VARON
2025-02-15,AIMING,#G8 ナンバーゲート
2025-02-16,husky ちくわ復活祭,心斎橋SUN HALL
2025-02-16,為虎傅翼ーイコフヨクー　復活BAND編,心斎橋SUN HALL
2025-02-18,chemical reaction Vol.41,心斎橋VARON
2025-02-22,雨のちハレルトイイネッ‼mini！,新宿WALLY
2025-02-22,リリイベ,渋谷タワーレコード9F
2025-02-23,AKIARIM 5th ANNIVERSARY GIGMOST EMOTION GIGS,渋谷CLUB QUATTRO
2025-02-24,少女博覧会 -現体制LAST LIVE-,難波Mele
2025-02-26,Synchro Sensation Vol.4,心斎橋VARON
2025-03-01,ENVY PARANOID pre,心斎橋CLAPPER
2025-03-02,ヒミツの混☆乱☆大廻転,Pollux Theater
2025-03-02,Village in Maier 3rd Anniversary,心斎橋VARON
2025-03-03,風神雷神 桃の節句編,心斎橋VARON
2025-03-07,FREEEEEESTYLE!!! 〜TAKA BIRTHDAY SPECIAL〜,amHALL
2025-03-08,NAMBA解放区 -EATS MUSIC16周年第六夜-,難波Mele
2025-03-08,IDOORLOVES -SPRING CIRCUIT-,心斎橋ANIMA
2025-03-10,iDOL-fusion -EATS MUSIC16周年第八夜-,難波Mele
2025-03-11,chemical reaction Vol.42,心斎橋VARON
2025-03-14,frecia ALBUM RELEASE TOUR in OSAKA-2,#G8ナンバーゲート
2025-03-15,Friends&Family-大阪編-,心斎橋DROP
2025-03-15,AdFicTioN Pre. Friends&Family-大阪編-,心斎橋DROP
2025-03-16,AdFicTioN Pre. Friends&Family-大阪編-,心斎橋DROP
2025-03-16,miniちかっぱ祭ver.19.0inOSAKA,クリエイティブセンター大阪
2025-03-18,Synchro Sensation Vol.5,心斎橋VARON
2025-03-21,Section U.G Presents VOLTAGE LEGION,DROP
2025-03-22,あきばのともだち ひる,TwinBoxAKIHABARA
2025-03-22,あきばのともだち  よる,TwinBoxAKIHABARA
2025-03-23,PassAge Point in TOKYO Vol.2,下北沢 ろくでもない夜
2025-03-23,PassAge Point in TOKYO Vol.3 収録LIVE,SPARK JOY
2025-03-27,husky confront the grow up Vol.5,心斎橋VARON
2025-03-29,キグルイフェス 2025,アメリカ村DROP
2025-03-29,MAD CIRCUS,CLUB CIRCUS
2025-03-30,MAD CIRCUS,CLUB CIRCUS
2025-03-30,AIMING CIRCUIT,DROP
2025-04-05,北条みなみ生誕祭 & 卒業公演,NAGOYA ReNY limited
2025-04-06,ピットアウトあいどる祭。略してPIS #10,住之江公園花と緑のステージ
2025-04-08,chemical reaction Vol.43,心斎橋VARON
2025-04-10,虎の威を狩る狐ー妖狐繚乱×huskyー,心斎橋VARON
2025-04-13,acro-A S4716release tour in OSAKA,アメリカ村BEYOND
2025-04-13,AIMING,FANJ twice
2025-04-15,Synchro Sensation Vol.6,心斎橋VARON
2025-04-17,きゃりーぱーりー〜4th Anniversary前夜祭〜,十三GABU
2025-04-20,二刀流系アイドルFortuness,梅田Zeela
2025-04-21,ABUSOP Pre. NUMBER ZERO,FANJ twice
2025-04-23,husky confront the grow up Vol.6,心斎橋VARON
2025-04-25,スプフェ!!! -完全無料の宴-,服部緑地野外音楽堂
2025-04-26,WEEKEND WEEKEND,MOSAiC
2025-04-26,ドグマエッジ,池袋SOUNDPEACE
2025-04-27,emo emo WEEKEND,Spotify O-NEST
2025-04-27,遊撃少女,代官山SpaceODD
2025-04-28,Section U.G Presents 『VOLTAGE LEGION』,アメリカ村 BEYOND
2025-04-29,Section U.G presents 『Red Death Chocolate Rampage2』-アメリカ村 BEYOND 7th ANNIVERSARY-,アメリカ村 BEYOND / DROP
2025-04-30,chemical reaction Vol.44,心斎橋VARON
2025-05-03,AFTER DARK FEST,心斎橋SUNHALL
2025-05-04,風神雷神 ゴールデンSP,福島２nd line
2025-05-05,chemical reaction　ゴールデンSP,福島２nd line
2025-05-05,三日月の円舞曲 宮乃生誕2025-対バン編-,アメ村BEYOND
2025-05-06,ココなった！Debut Live,心斎橋AtlantiQs
2025-05-08,Synchro Sensation Vol.7,心斎橋VARON
2025-05-10,MAWA LOOP OSAKA 2025 10th Anniversary,アメ村DROP
2025-05-11,『ARTSOUND presents　War Declaration ＠ 豊橋2days』,GRAND SPACE QUARK
2025-05-13,chemical reaction Vol.45,心斎橋VARON
2025-05-16,LIVE A LIVE,渋谷Milky Way
2025-05-17,BUCCHIGIRI,目黒鹿鳴館
2025-05-17,Awesome New Idol Live,池袋ハレブタイ
2025-05-18,miniTIF vol.107,白金高輪SELENE b2
2025-05-20,Synchro Sensation Vol.8,心斎橋VARON
2025-05-21,nanotono+,難波Mele
2025-05-22,きゃりーぱーりー,福島2nd LINE
2025-05-24,ネクストカルチャーズサーキット,SHIBUYA DESEO&DESEO mini
